               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  38,            0.025716,           0.0071388,                   0,             0.99314,                   1,             0.99538,             0.69032,            0.017232,           0.0049014,                   0,           0.0096631,           0.0096631,            0.012263
                  39,            0.024993,           0.0069979,                   0,             0.99998,                   1,             0.99645,              0.7609,            0.013626,           0.0044913,                   0,            0.009907,            0.009907,            0.010007
                  40,            0.024033,           0.0069504,                   0,                   1,             0.99999,              0.9958,             0.75019,            0.013667,            0.004622,                   0,           0.0099126,           0.0099126,           0.0099126
                  41,            0.023298,           0.0067464,                   0,             0.99313,                   1,             0.99617,             0.74518,            0.015107,           0.0051312,                   0,           0.0099126,           0.0099126,           0.0099126
                  42,            0.023693,           0.0066673,                   0,                   1,             0.99998,             0.99613,             0.73443,            0.014495,           0.0048806,                   0,           0.0099082,           0.0099082,           0.0099082
                  43,            0.023244,           0.0067114,                   0,                   1,                   1,             0.99641,             0.76148,            0.013331,           0.0044812,                   0,           0.0099037,           0.0099037,           0.0099037
                  44,            0.023545,           0.0068088,                   0,             0.99999,                   1,             0.99613,             0.75938,            0.015311,           0.0047783,                   0,            0.009899,            0.009899,            0.009899
                  45,              0.0232,           0.0068822,                   0,             0.99994,              0.9931,              0.9963,             0.77115,            0.013245,           0.0047172,                   0,           0.0098943,           0.0098943,           0.0098943
                  46,            0.021171,           0.0066401,                   0,                   1,             0.99999,             0.99702,             0.72517,            0.014335,           0.0045922,                   0,           0.0098895,           0.0098895,           0.0098895
                  47,            0.022164,           0.0065902,                   0,                   1,                   1,             0.99624,             0.76703,             0.01362,           0.0043898,                   0,           0.0098845,           0.0098845,           0.0098845
                  48,            0.021064,           0.0061377,                   0,                   1,             0.99999,             0.99771,             0.76656,            0.012537,           0.0044974,                   0,           0.0098795,           0.0098795,           0.0098795
                  49,            0.022618,           0.0069877,                   0,                   1,              0.9931,              0.9969,             0.71337,            0.014696,           0.0047268,                   0,           0.0098743,           0.0098743,           0.0098743
                  50,            0.022128,           0.0065657,                   0,             0.99999,                   1,             0.99645,             0.79199,            0.012568,           0.0045395,                   0,           0.0098691,           0.0098691,           0.0098691
                  51,            0.020762,           0.0063779,                   0,                   1,             0.99309,             0.99615,              0.7873,            0.012078,            0.004524,                   0,           0.0098637,           0.0098637,           0.0098637
                  52,            0.020986,           0.0060975,                   0,                   1,             0.99999,              0.9966,             0.78887,            0.013536,           0.0042337,                   0,           0.0098582,           0.0098582,           0.0098582
                  53,            0.021296,           0.0062173,                   0,                   1,                   1,             0.99587,              0.7876,            0.014346,           0.0043791,                   0,           0.0098527,           0.0098527,           0.0098527
                  54,            0.020233,           0.0063812,                   0,                   1,             0.99999,             0.99668,             0.80529,             0.01279,             0.00418,                   0,            0.009847,            0.009847,            0.009847
                  55,            0.020803,           0.0062688,                   0,             0.99999,                   1,             0.99844,             0.77663,            0.013379,           0.0044225,                   0,           0.0098412,           0.0098412,           0.0098412
                  56,            0.019058,           0.0061807,                   0,             0.99315,             0.99999,             0.99714,             0.78279,            0.013135,           0.0041388,                   0,           0.0098353,           0.0098353,           0.0098353
                  57,            0.019892,           0.0062039,                   0,             0.99999,                   1,             0.99779,             0.75825,            0.014719,           0.0042569,                   0,           0.0098293,           0.0098293,           0.0098293
                  58,            0.019452,           0.0061865,                   0,                   1,             0.99999,              0.9983,             0.76745,            0.013175,            0.004113,                   0,           0.0098232,           0.0098232,           0.0098232
                  59,            0.019887,            0.005828,                   0,                   1,             0.99999,             0.99762,              0.8011,            0.011405,           0.0041189,                   0,            0.009817,            0.009817,            0.009817
                  60,            0.020142,           0.0060561,                   0,                   1,              0.9931,             0.99665,             0.77598,            0.013863,           0.0043825,                   0,           0.0098106,           0.0098106,           0.0098106
                  61,            0.018994,            0.006208,                   0,                   1,                   1,             0.99587,             0.80469,            0.011622,           0.0042157,                   0,           0.0098042,           0.0098042,           0.0098042
                  62,            0.020788,           0.0064298,                   0,             0.99315,             0.99997,             0.99794,             0.80615,            0.011498,           0.0041101,                   0,           0.0097977,           0.0097977,           0.0097977
