               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  37,            0.027945,           0.0083987,                   0,             0.95024,             0.97449,             0.95953,             0.50603,            0.030572,            0.006325,                   0,           0.0093773,           0.0093773,           0.0093773
                  38,            0.026609,           0.0077043,                   0,             0.96982,             0.98469,             0.97784,             0.57853,            0.024943,           0.0061667,                   0,           0.0093432,           0.0093432,           0.0093432
                  39,            0.027336,           0.0077402,                   0,              0.9949,             0.99488,             0.99551,              0.5796,            0.025801,           0.0058881,                   0,           0.0093083,           0.0093083,           0.0093083
                  40,             0.02678,            0.007844,                   0,             0.95998,             0.97959,             0.97515,             0.55457,            0.025652,           0.0063701,                   0,           0.0092726,           0.0092726,           0.0092726
                  41,            0.027174,           0.0078668,                   0,              0.9648,             0.97959,             0.98584,             0.50275,            0.030619,           0.0066311,                   0,           0.0092361,           0.0092361,           0.0092361
                  42,            0.027461,           0.0078173,                   0,             0.93747,             0.91837,             0.92489,             0.44951,            0.034272,           0.0066851,                   0,           0.0091987,           0.0091987,           0.0091987
                  43,             0.02599,           0.0075143,                   0,             0.95848,             0.95408,             0.97247,             0.53806,            0.029054,           0.0068401,                   0,           0.0091606,           0.0091606,           0.0091606
                  44,            0.026546,           0.0077074,                   0,             0.95925,             0.96429,             0.95925,              0.5402,            0.029744,            0.006374,                   0,           0.0091217,           0.0091217,           0.0091217
                  45,             0.02554,            0.007666,                   0,              0.9799,             0.99489,              0.9896,             0.55116,            0.026616,           0.0060982,                   0,           0.0090821,           0.0090821,           0.0090821
                  46,            0.025774,           0.0074162,                   0,             0.96999,              0.9898,             0.98079,             0.58404,            0.025543,           0.0063339,                   0,           0.0090416,           0.0090416,           0.0090416
                  47,            0.025295,           0.0075602,                   0,              0.9799,             0.99485,              0.9785,             0.58393,              0.0245,           0.0063102,                   0,           0.0090004,           0.0090004,           0.0090004
                  48,            0.025929,           0.0076813,                   0,             0.97485,              0.9898,             0.98306,             0.57011,            0.025437,           0.0062328,                   0,           0.0089585,           0.0089585,           0.0089585
                  49,            0.024678,           0.0075518,                   0,             0.98467,             0.98469,             0.99305,             0.58222,            0.026967,           0.0064939,                   0,           0.0089159,           0.0089159,           0.0089159
                  50,            0.024112,           0.0071847,                   0,             0.99999,              0.9898,             0.99687,             0.59449,            0.024563,           0.0062109,                   0,           0.0088725,           0.0088725,           0.0088725
                  51,             0.02445,            0.007132,                   0,             0.98484,              0.9949,             0.98799,             0.60457,            0.025459,           0.0064847,                   0,           0.0088284,           0.0088284,           0.0088284
                  52,            0.024153,           0.0072628,                   0,             0.95999,             0.97959,             0.97391,             0.53821,            0.026556,           0.0063718,                   0,           0.0087837,           0.0087837,           0.0087837
                  53,            0.023413,           0.0070848,                   0,             0.97934,             0.96939,             0.98759,             0.58771,            0.024465,           0.0063016,                   0,           0.0087382,           0.0087382,           0.0087382
                  54,            0.024736,           0.0071266,                   0,             0.97499,              0.9949,             0.99458,             0.60771,            0.026647,           0.0063737,                   0,           0.0086921,           0.0086921,           0.0086921
                  55,            0.023122,           0.0073308,                   0,             0.96443,             0.96939,             0.98389,             0.59604,             0.02594,           0.0062141,                   0,           0.0086452,           0.0086452,           0.0086452
                  56,            0.023753,           0.0069467,                   0,             0.96954,             0.97426,             0.97844,             0.57564,            0.025924,           0.0063601,                   0,           0.0085978,           0.0085978,           0.0085978
                  57,            0.024065,           0.0069277,                   0,             0.97487,             0.98978,             0.98819,             0.58396,            0.026957,           0.0062147,                   0,           0.0085497,           0.0085497,           0.0085497
                  58,            0.023908,           0.0071398,                   0,             0.98971,             0.98469,             0.98867,             0.60872,            0.024309,           0.0061415,                   0,            0.008501,            0.008501,            0.008501
                  59,            0.023299,           0.0068267,                   0,              0.9602,             0.98468,              0.9772,             0.61445,            0.025359,           0.0059852,                   0,           0.0084516,           0.0084516,           0.0084516
                  60,            0.023368,           0.0066825,                   0,              0.9799,             0.99489,              0.9919,             0.57794,            0.025819,           0.0062369,                   0,           0.0084017,           0.0084017,           0.0084017
                  61,            0.022467,            0.007009,                   0,             0.97969,             0.98469,             0.98498,             0.58762,            0.029255,           0.0063789,                   0,           0.0083511,           0.0083511,           0.0083511
                  62,            0.021671,           0.0066669,                   0,             0.96954,             0.97446,             0.98494,             0.57586,            0.027556,            0.006726,                   0,              0.0083,              0.0083,              0.0083
                  63,            0.022436,             0.00666,                   0,             0.98469,             0.98468,             0.98654,             0.58795,            0.023638,           0.0059724,                   0,           0.0082483,           0.0082483,           0.0082483
                  64,            0.021551,           0.0064528,                   0,             0.98985,             0.99489,             0.99605,             0.60713,            0.023594,           0.0059149,                   0,           0.0081961,           0.0081961,           0.0081961
                  65,            0.021567,           0.0067942,                   0,             0.98477,             0.98976,             0.98989,             0.59284,            0.023817,           0.0059455,                   0,           0.0081433,           0.0081433,           0.0081433
                  66,            0.021905,           0.0066943,                   0,             0.98483,              0.9949,             0.99463,             0.58585,            0.025187,           0.0063947,                   0,             0.00809,             0.00809,             0.00809
                  67,             0.02179,           0.0066988,                   0,             0.96482,             0.97959,             0.95533,             0.55113,            0.025702,           0.0061256,                   0,           0.0080362,           0.0080362,           0.0080362
                  68,            0.021962,           0.0065196,                   0,             0.95977,             0.97449,             0.95583,             0.54294,            0.024981,           0.0062916,                   0,           0.0079818,           0.0079818,           0.0079818
                  69,             0.02078,           0.0064268,                   0,             0.96975,             0.98469,             0.98975,              0.5993,            0.024981,           0.0064722,                   0,            0.007927,            0.007927,            0.007927
                  70,            0.020261,             0.00636,                   0,             0.98477,             0.98979,             0.98784,             0.57433,            0.023944,            0.006183,                   0,           0.0078717,           0.0078717,           0.0078717
                  71,            0.021296,           0.0064798,                   0,             0.96967,             0.97959,             0.97395,             0.58326,            0.023688,           0.0057879,                   0,            0.007816,            0.007816,            0.007816
                  72,            0.020966,           0.0066841,                   0,             0.98458,             0.97959,              0.9747,             0.61744,            0.023522,           0.0062192,                   0,           0.0077598,           0.0077598,           0.0077598
                  73,            0.020164,           0.0063688,                   0,             0.98986,                   1,             0.99433,             0.58704,            0.022423,           0.0057167,                   0,           0.0077031,           0.0077031,           0.0077031
